,Knowledge_0,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Knowledge_9,Knowledge_10,Knowledge_11,Knowledge_12,Knowledge_13,Knowledge_14,Knowledge_15,Knowledge_16,Knowledge_17,Knowledge_18,Knowledge_19,Knowledge_20,Knowledge_21,Knowledge_22
Student_12,0.50816,0.4963143,0.51163936,0.5158481,0.48530805,0.48244405,0.49415156,0.5073159,0.48838425,0.49845636,0.5185821,0.49264678,0.46945652,0.48426685,0.51513225,0.51093435,0.49260408,0.50442725,0.49101108,0.49102113,0.5094425,0.48052877,0.48509812
Student_13,0.5325493,0.4910411,0.48531356,0.4944041,0.49527177,0.4758482,0.50178355,0.5070797,0.5049439,0.50404096,0.51719546,0.5011318,0.50843185,0.49146307,0.5091708,0.47827756,0.526214,0.48421898,0.50693244,0.48777676,0.51623714,0.5066521,0.5010001
Student_14,0.51463234,0.4988388,0.48905444,0.50048447,0.50409,0.50746703,0.5019051,0.48340532,0.48282936,0.51682144,0.5094467,0.51001596,0.51262945,0.5024543,0.4693334,0.50622755,0.48509607,0.48819977,0.5033603,0.5173419,0.49207297,0.4986147,0.51154405
Student_15,0.5151322,0.50147754,0.51037014,0.4981729,0.4882215,0.4947943,0.4684242,0.4960554,0.50216955,0.47774,0.51295024,0.5038852,0.49945343,0.49827388,0.5029235,0.50664896,0.502792,0.49085253,0.49542233,0.5291087,0.49130255,0.4981419,0.524395
Student_16,0.512391,0.5099171,0.5070915,0.49686196,0.5141178,0.50004077,0.51647294,0.513843,0.49808618,0.53040403,0.49368346,0.50881773,0.48916224,0.4892064,0.49028525,0.49911276,0.4960339,0.50669074,0.5032195,0.5039461,0.50004673,0.49109134,0.4758281
Student_17,0.49054495,0.5011572,0.48001885,0.50237256,0.4875743,0.48450002,0.5017235,0.52077866,0.4924161,0.5340273,0.47814667,0.51986504,0.5025343,0.5012693,0.503639,0.5195694,0.48921597,0.48544976,0.49486136,0.49439105,0.5043581,0.50150555,0.5053309
Student_18,0.49744788,0.4836883,0.51583576,0.4928479,0.5021371,0.49441752,0.5302058,0.4792578,0.49298394,0.49277794,0.50319433,0.4820215,0.49299097,0.51684695,0.52211535,0.48921528,0.49027452,0.49239543,0.5200044,0.49789876,0.5328365,0.51300347,0.5090833
Student_19,0.49361047,0.49501294,0.48383236,0.48399448,0.49389333,0.49671558,0.4752971,0.48587507,0.49629962,0.50546956,0.510489,0.5201265,0.48462316,0.47803828,0.4784549,0.50713795,0.50457495,0.50413007,0.4832033,0.49547,0.49947745,0.4772522,0.5074632
Student_20,0.48924154,0.4964369,0.50146407,0.49331108,0.5118362,0.52401745,0.5115008,0.48161155,0.49817514,0.50982237,0.5042053,0.4806272,0.5092681,0.49931917,0.46505913,0.5324735,0.51184404,0.46641055,0.50595444,0.5193259,0.48766753,0.5189279,0.49339634
Student_21,0.4779937,0.5201548,0.47666234,0.5141653,0.51862663,0.50627774,0.47288132,0.4867252,0.50368714,0.502577,0.49381015,0.5081207,0.49030873,0.5148185,0.49690875,0.4856695,0.48953453,0.4813183,0.49658266,0.4815023,0.49718273,0.50000465,0.49276108
Student_22,0.511042,0.48781368,0.503397,0.5003521,0.47482672,0.48575163,0.49151546,0.50594515,0.51158327,0.5167317,0.4922175,0.50471956,0.4992961,0.51258194,0.5006306,0.49310422,0.5099008,0.5015921,0.49623132,0.51989245,0.50691926,0.4921297,0.5216859
Student_23,0.5181793,0.50445896,0.49749687,0.49140537,0.5124827,0.501807,0.470563,0.5096678,0.49676982,0.50105464,0.49459085,0.49063542,0.4992293,0.471441,0.49912095,0.5028483,0.49362198,0.4995774,0.51361763,0.5143177,0.4903499,0.47321582,0.48019505
Student_24,0.49156293,0.50156116,0.5103401,0.5065895,0.4805172,0.50747746,0.5150615,0.50507504,0.49749172,0.48962888,0.50158256,0.50999004,0.5120877,0.50431985,0.5139617,0.4993619,0.50343084,0.4989094,0.5021864,0.49136916,0.45715138,0.5264402,0.47325224
Student_25,0.5051475,0.4905145,0.49797034,0.49798977,0.49808642,0.503566,0.4993087,0.5241276,0.4790789,0.49863663,0.52285296,0.5171583,0.51097876,0.49256265,0.5009328,0.47568092,0.5000618,0.51123446,0.4804199,0.5136273,0.49933237,0.5140041,0.49886033
Student_26,0.4781029,0.50068444,0.48450974,0.47688422,0.5007932,0.4946238,0.5078841,0.521495,0.4949877,0.50410026,0.48250565,0.47873586,0.5091147,0.5087024,0.4979296,0.5205851,0.5068145,0.49391472,0.46108258,0.51680756,0.5158187,0.5248122,0.49823174
Student_27,0.48700684,0.5053543,0.52368444,0.49893647,0.48651,0.49647227,0.48083985,0.49970853,0.5054659,0.5133948,0.48753613,0.50473344,0.47575557,0.51666063,0.5048499,0.4947565,0.47557497,0.506604,0.50417614,0.50591147,0.5046086,0.5154792,0.503277
Student_28,0.5017668,0.46241564,0.5244991,0.51251733,0.4968063,0.49694827,0.47322553,0.50210094,0.49914464,0.5036271,0.48842257,0.47226676,0.48587835,0.5250956,0.49200508,0.5099815,0.5189885,0.47702193,0.5015366,0.50757486,0.4945405,0.48177138,0.49406797
Student_29,0.50041234,0.5273279,0.50315124,0.51750886,0.5050488,0.49289688,0.48882166,0.495119,0.48976827,0.4933346,0.48012635,0.5110771,0.5024991,0.46770683,0.4960453,0.47618705,0.55668414,0.51614773,0.49126688,0.5153111,0.48978475,0.50258553,0.4929632
Student_30,0.5243459,0.49770674,0.5223075,0.51043046,0.50620025,0.49669003,0.5030971,0.49117276,0.47378677,0.4924663,0.5022236,0.5005567,0.5133675,0.48832405,0.52106726,0.49971917,0.5039576,0.48048308,0.5262561,0.50486404,0.5073967,0.4834369,0.4850085
Student_31,0.48637652,0.49647614,0.50852644,0.50927895,0.488043,0.50306666,0.49697724,0.51278275,0.5094648,0.49334624,0.5098508,0.49442112,0.50603765,0.48370898,0.46946,0.5185493,0.4965572,0.5265596,0.4857919,0.4816006,0.47828516,0.5042367,0.49228343
Student_32,0.5295871,0.5209021,0.48308986,0.5119002,0.51791006,0.514658,0.47101736,0.5009135,0.50041246,0.49890104,0.506673,0.5403145,0.50364226,0.49047434,0.4766365,0.48359606,0.4836019,0.51255006,0.5008521,0.5109013,0.45163876,0.5134249,0.49674752
Student_33,0.4982129,0.4970188,0.51393753,0.48150036,0.52178097,0.5066408,0.5294457,0.50224674,0.51709676,0.49625036,0.4890574,0.49959996,0.51828706,0.48448893,0.515659,0.51960224,0.49434254,0.5005232,0.4954859,0.49677575,0.49426207,0.50530905,0.5120096
Student_34,0.49988273,0.50728756,0.49268404,0.51349044,0.49452186,0.4853987,0.5133583,0.5104034,0.49263313,0.49024352,0.4833641,0.48544022,0.49788514,0.50183636,0.48644772,0.50122267,0.49455532,0.47495705,0.5010462,0.50993925,0.5014892,0.4942927,0.47624078
Student_35,0.48747885,0.50727034,0.5180032,0.4989506,0.4919303,0.496285,0.5090491,0.50320613,0.49050313,0.5159174,0.48653048,0.47800657,0.52625173,0.4943179,0.48681244,0.48877206,0.48964283,0.49799168,0.5192744,0.507458,0.50238484,0.5159288,0.49189004
Student_36,0.467925,0.50834733,0.4996453,0.52759516,0.50919676,0.4829968,0.5001018,0.50666314,0.46557492,0.5111659,0.50270236,0.45286652,0.51721865,0.5021996,0.5154337,0.5010712,0.50268567,0.512834,0.50633407,0.5153218,0.512841,0.5180897,0.51285887
Student_37,0.5119794,0.5094723,0.5087814,0.48465362,0.5021863,0.51568544,0.50254375,0.5024514,0.49759337,0.5303427,0.50651276,0.5122121,0.49103808,0.5285648,0.50083596,0.514451,0.51101714,0.50758624,0.50336844,0.497014,0.51196235,0.501975,0.50666434
Student_38,0.49382684,0.508363,0.52385795,0.47786063,0.48439035,0.51311487,0.49840447,0.49936315,0.49644676,0.5163987,0.49840745,0.4846976,0.5159104,0.46244383,0.51128197,0.49238423,0.52614665,0.48722437,0.49921423,0.47374338,0.4790279,0.4951419,0.52278143
Student_39,0.49085626,0.4842219,0.49994963,0.5284391,0.49726555,0.50181997,0.51032335,0.5037903,0.5158374,0.4950459,0.5016166,0.4962419,0.50472885,0.48388615,0.5072073,0.5078969,0.49454838,0.5314821,0.5178088,0.50226176,0.49052572,0.5056237,0.48597646
Student_40,0.4946881,0.5083551,0.5051128,0.5167215,0.5149777,0.50251716,0.5089795,0.49235174,0.50142354,0.51137644,0.51316,0.51369774,0.515961,0.52864313,0.49415922,0.49008772,0.5028703,0.51877415,0.49576023,0.49899626,0.48196357,0.5345492,0.48486912
Student_41,0.510052,0.50513387,0.48106033,0.5055446,0.4977652,0.5282026,0.4853066,0.47540626,0.50725776,0.5073416,0.5200199,0.49708053,0.50839746,0.5088585,0.47537598,0.51631135,0.49584404,0.51290816,0.5002352,0.48203942,0.5100029,0.5137416,0.48921725
Student_42,0.50653535,0.4852089,0.4929606,0.5006082,0.5353737,0.49549162,0.49429283,0.5057334,0.49479622,0.5095415,0.50742495,0.49082845,0.48764104,0.49600926,0.5141601,0.477907,0.49785691,0.49658373,0.49527118,0.5241346,0.5035551,0.46576932,0.5114739
Student_43,0.49549994,0.4940232,0.48523417,0.5168689,0.492447,0.48102364,0.52032685,0.49690336,0.5202968,0.47020048,0.49535647,0.51356256,0.5089059,0.50660914,0.48470908,0.53745514,0.49704203,0.51628745,0.4928634,0.50984234,0.49228337,0.48823115,0.46361485
Student_44,0.5173188,0.47881693,0.5186491,0.49101233,0.4790302,0.4900323,0.4804803,0.5053289,0.4859678,0.50787777,0.50495523,0.5193507,0.5287812,0.49191675,0.5079944,0.4859285,0.49819207,0.50027645,0.5073008,0.48382822,0.5165452,0.4742336,0.49024966
Student_45,0.49211892,0.51518524,0.4889296,0.5209341,0.4732531,0.49100807,0.5023818,0.49185613,0.5284059,0.5056462,0.5070943,0.5057966,0.49190295,0.49861494,0.5029751,0.49193475,0.48872826,0.505532,0.52107763,0.5066475,0.48846662,0.5170753,0.5083426
Student_46,0.48581463,0.50579196,0.4998216,0.5085415,0.50264686,0.47800842,0.5070791,0.5034599,0.5027285,0.48755297,0.48768777,0.48742774,0.5031321,0.48277056,0.51875186,0.47694966,0.49567175,0.5195848,0.5175812,0.51410174,0.49607232,0.4923277,0.51800823
Student_47,0.51549095,0.50455433,0.49845496,0.47397014,0.48566967,0.49013543,0.4989248,0.50766635,0.51582825,0.4993729,0.4975962,0.51252854,0.520123,0.50025654,0.5047577,0.5128024,0.49349457,0.49188656,0.5052026,0.47806978,0.5052608,0.50001806,0.5073038
Student_48,0.51521707,0.5185445,0.51008594,0.4837573,0.48470864,0.4971004,0.48357788,0.48114902,0.48331308,0.49111766,0.46864957,0.51129,0.49900332,0.49880505,0.49323538,0.49328166,0.49246642,0.4882395,0.48967886,0.49980053,0.49470523,0.49668416,0.49574223
Student_49,0.50672835,0.5058707,0.50878793,0.51680785,0.48998713,0.5024489,0.5081446,0.4672408,0.50777113,0.4950896,0.49346936,0.52711666,0.49585417,0.50993335,0.5001292,0.49428385,0.49213445,0.50538707,0.4810904,0.48999372,0.49613675,0.49389297,0.5091176
Student_50,0.48521802,0.5034294,0.5024093,0.5053076,0.4926153,0.5076283,0.5029318,0.508226,0.49247146,0.48740655,0.5206327,0.48006424,0.5047183,0.5410896,0.4975891,0.50062984,0.47301906,0.49600405,0.51538944,0.4798749,0.49811172,0.49821958,0.51637834
Student_51,0.51112014,0.47997683,0.49328142,0.5081335,0.49212852,0.49868715,0.4948813,0.4869507,0.4856391,0.47649452,0.5067815,0.499951,0.5088128,0.4967453,0.49601427,0.5104454,0.5138296,0.50512433,0.49376225,0.49860248,0.527158,0.50436956,0.50170684
Student_52,0.4969001,0.51383495,0.49341375,0.51330227,0.5043314,0.49541146,0.5241656,0.49767542,0.49010587,0.5045434,0.4824143,0.5119587,0.4968313,0.47923067,0.50775737,0.48530042,0.50953674,0.47720093,0.49430412,0.4683767,0.50650597,0.51152307,0.4996643
Student_53,0.50067323,0.50770926,0.4831178,0.50453246,0.5013194,0.47725615,0.5073018,0.5083851,0.49127904,0.5227892,0.5074227,0.5043278,0.5213759,0.48310643,0.4757461,0.48453683,0.53979945,0.5373874,0.5106441,0.47703,0.49415523,0.5120083,0.48463693
Student_54,0.49057359,0.4937482,0.5029406,0.4864185,0.4614139,0.52501726,0.49903792,0.497701,0.48333737,0.50059706,0.51206,0.5024086,0.49808282,0.5094769,0.51130915,0.5448145,0.5113858,0.5048673,0.46309242,0.49068034,0.4980183,0.5151462,0.50880873
Student_55,0.518502,0.5030286,0.49073,0.49690658,0.4987709,0.5101361,0.5159692,0.50069064,0.51158804,0.48263004,0.49832633,0.50617206,0.48984796,0.5058994,0.4845692,0.49281076,0.5079382,0.50131303,0.49289364,0.5016882,0.48501843,0.50443596,0.5021211
Student_56,0.4920814,0.4977036,0.47626728,0.5194899,0.51408195,0.5041867,0.48864022,0.49673393,0.52242225,0.5025783,0.50142336,0.50876015,0.4824677,0.47293505,0.49481252,0.50556576,0.49482512,0.5033532,0.50394726,0.48309916,0.5052812,0.5039454,0.48233953
Student_57,0.5049428,0.50561583,0.52223015,0.46737581,0.4867163,0.49852896,0.49064392,0.47102422,0.5046517,0.48183686,0.5079372,0.46643874,0.49594253,0.5065943,0.48001885,0.5165462,0.47976595,0.52392447,0.50552666,0.5260604,0.48532435,0.50915617,0.5048847
Student_58,0.4786473,0.48055828,0.48746377,0.5004031,0.48924407,0.4829489,0.5214829,0.5097003,0.5011612,0.5012968,0.5063002,0.5277174,0.50101435,0.5185238,0.5204068,0.4840583,0.4746204,0.49048212,0.5121494,0.47902548,0.4823681,0.4935474,0.48274392
Student_59,0.50927657,0.5066876,0.5097379,0.5090436,0.4904674,0.5270197,0.50289816,0.4898574,0.50927603,0.49433535,0.50431895,0.512666,0.4833427,0.50572616,0.49483317,0.504002,0.48640633,0.5231641,0.5018134,0.4972537,0.50142217,0.51441294,0.5069373
Student_60,0.5029618,0.49999893,0.5148383,0.5064873,0.51481616,0.5072787,0.5031966,0.51001614,0.46609366,0.5039973,0.48590338,0.5119386,0.5330579,0.49006745,0.5095262,0.47818565,0.48243394,0.50654185,0.48244384,0.5092961,0.50465757,0.49479207,0.52417964
Student_61,0.5132512,0.47789943,0.4895971,0.506101,0.50475746,0.49380714,0.5124533,0.49451923,0.4826579,0.52127975,0.4755709,0.51570874,0.4897191,0.5074269,0.5097067,0.49959645,0.50068665,0.46468475,0.48301426,0.49963155,0.5074968,0.49014208,0.5003689
Student_62,0.50230104,0.50860053,0.50379527,0.48536074,0.51129776,0.5034357,0.51736456,0.4800292,0.5006462,0.5167459,0.47390583,0.5055372,0.51415616,0.5140147,0.51204324,0.49339518,0.5466799,0.47523233,0.5080912,0.49870706,0.5073184,0.5029309,0.50107276
Student_63,0.49912593,0.51348627,0.48435444,0.4723196,0.5085319,0.47855407,0.49923703,0.48721653,0.5002341,0.4881278,0.51368016,0.49636093,0.5236464,0.4938882,0.4888032,0.5006192,0.50014395,0.48957676,0.47756663,0.4889957,0.50505596,0.51570886,0.51483136
Student_64,0.4997823,0.50067455,0.51235837,0.5252095,0.4923055,0.51149267,0.50101894,0.49495497,0.50856984,0.5245669,0.477924,0.50556064,0.49882996,0.5187815,0.4860145,0.48553604,0.49054855,0.5015615,0.49695122,0.5251201,0.50758547,0.5081682,0.4945703
Student_65,0.5159942,0.50154984,0.50186116,0.4799731,0.5024697,0.49925545,0.5147682,0.51809496,0.50216097,0.51549065,0.523336,0.5065332,0.4795506,0.514788,0.5001665,0.5177144,0.52453643,0.5033058,0.49213988,0.5107025,0.4831327,0.5120358,0.52346855
Student_66,0.5038649,0.4974125,0.478972,0.51201075,0.50239444,0.49540338,0.49042752,0.5093663,0.4981599,0.5081414,0.48515424,0.52417463,0.5017973,0.50390226,0.47866228,0.5079437,0.47433382,0.50256383,0.5263951,0.49578658,0.50474113,0.48556134,0.4912448
Student_67,0.49931714,0.5096486,0.5044305,0.49147895,0.5028721,0.5217709,0.4851074,0.5331021,0.49273774,0.48958048,0.5017753,0.5045623,0.4880815,0.5089908,0.49207163,0.5321839,0.48886833,0.4988642,0.49940473,0.5057051,0.50662196,0.52389234,0.5085006
Student_68,0.48611102,0.5112696,0.49553412,0.50723124,0.4867534,0.4852609,0.48798394,0.5040902,0.49133754,0.52316606,0.48903966,0.47503355,0.47997558,0.5124605,0.51352185,0.5072206,0.47634387,0.5065309,0.48541108,0.4928509,0.49162596,0.48216897,0.49482045
Student_69,0.52213687,0.51909685,0.5061354,0.48340482,0.4998123,0.4658882,0.5135426,0.48214492,0.5116623,0.50078374,0.49386492,0.49478257,0.4858527,0.48032933,0.47001743,0.4797606,0.48350015,0.48409548,0.49971098,0.4774001,0.46956712,0.5072634,0.48228124
Student_70,0.5035288,0.5046496,0.47967508,0.50825685,0.51363814,0.5067336,0.48726732,0.50043905,0.48794937,0.4895514,0.48604366,0.4970981,0.49812722,0.46551648,0.48205233,0.4950318,0.4898782,0.48526236,0.50267744,0.48905662,0.5026269,0.521793,0.49523142
Student_71,0.5035723,0.5041025,0.49544868,0.47090462,0.5134051,0.5112752,0.50706184,0.5049448,0.50666916,0.499941,0.4757035,0.4872765,0.49430937,0.4873717,0.50502497,0.50682336,0.5029665,0.49396637,0.5112065,0.52702975,0.48705724,0.48561856,0.4832548
Student_72,0.514602,0.5157033,0.499923,0.49595836,0.508785,0.4915444,0.4786875,0.50860566,0.48172706,0.5084169,0.49956086,0.49627724,0.46964934,0.475378,0.4938497,0.50593245,0.50394577,0.49256116,0.52350247,0.49253756,0.48774004,0.5025557,0.49077
Student_73,0.50683945,0.50958395,0.48679438,0.5146512,0.51371914,0.50384873,0.49721467,0.49267167,0.48881096,0.48808098,0.48041418,0.52256405,0.5101648,0.4875611,0.48994792,0.50123954,0.50780725,0.5066538,0.47428352,0.49139303,0.5016578,0.47692597,0.49314085
Student_74,0.4906767,0.5147766,0.50245434,0.48748213,0.50832087,0.51603544,0.48618788,0.5051078,0.4897128,0.5062241,0.48603916,0.45922944,0.5064583,0.5260268,0.51225686,0.51660264,0.47345802,0.48764604,0.5183069,0.5326006,0.5084723,0.4872643,0.47760698
Student_75,0.49616605,0.5086144,0.50386703,0.5029554,0.49128437,0.48489287,0.5153496,0.5081302,0.49952838,0.46244863,0.4940831,0.49107316,0.49366057,0.5013744,0.52223206,0.5118877,0.5188047,0.49522865,0.520509,0.49048597,0.48966336,0.535535,0.47479704
Student_76,0.50622314,0.51479864,0.49613982,0.5159154,0.50220627,0.48058593,0.49333736,0.4912236,0.509155,0.49590746,0.48848516,0.48901123,0.4896226,0.51240385,0.49135253,0.48275134,0.4983464,0.47435898,0.5195949,0.48819205,0.4608637,0.49723434,0.49690616
Student_77,0.49499658,0.51711625,0.48949894,0.5024012,0.5068231,0.46572924,0.51841503,0.4973606,0.5035561,0.49126223,0.48431942,0.504908,0.49403027,0.49729425,0.49972406,0.48625946,0.49498868,0.4919981,0.50897676,0.50233895,0.462254,0.50382894,0.50013566
Student_78,0.48599005,0.49506915,0.5097161,0.4942637,0.49767235,0.51463336,0.49101368,0.497687,0.49539626,0.49677515,0.51410073,0.5226621,0.48564196,0.511698,0.5040265,0.5133309,0.48914832,0.49610513,0.47618276,0.5002695,0.49640623,0.5216747,0.487003
Student_79,0.48198622,0.49638978,0.5059627,0.47613418,0.49564388,0.483687,0.48832688,0.4924532,0.509054,0.4752467,0.47795296,0.47525057,0.4912472,0.48064512,0.5202949,0.4983846,0.5097043,0.5051813,0.50112104,0.48940852,0.50466514,0.51324004,0.4832173
Student_80,0.46744463,0.51501435,0.51033527,0.5348181,0.5067915,0.4961569,0.48369732,0.47497228,0.5201696,0.49642697,0.4928462,0.51009923,0.52058166,0.51574254,0.5022601,0.4832185,0.4959071,0.5045257,0.4982919,0.5103652,0.5180199,0.51093006,0.46863738
Student_81,0.5206971,0.49736312,0.5157677,0.5171462,0.49384853,0.522191,0.47574663,0.5133788,0.5030109,0.5043091,0.511168,0.4853827,0.5198038,0.47873372,0.51348895,0.45722836,0.502984,0.49529973,0.49876496,0.47707748,0.5053778,0.51466894,0.52689946
Student_82,0.50931096,0.5062944,0.47305593,0.4790501,0.48437726,0.5157841,0.5003834,0.5008573,0.50563025,0.5115848,0.5118854,0.5061818,0.5042184,0.4922209,0.5086597,0.5075483,0.49197784,0.48048836,0.51253676,0.5039686,0.46863988,0.48768583,0.50610685
Student_83,0.4932007,0.4918644,0.49528778,0.4926551,0.51705277,0.5069729,0.51878196,0.47929326,0.5249073,0.5025978,0.5112308,0.50554407,0.4982032,0.50347155,0.5113025,0.48735717,0.49286467,0.49514633,0.50721323,0.5059031,0.49870333,0.48282176,0.5108083
Student_84,0.52719694,0.5244772,0.5335016,0.49707595,0.502729,0.50429785,0.4886953,0.4744221,0.49578807,0.4855214,0.47713372,0.50463307,0.49966002,0.503705,0.5088881,0.5078287,0.49296013,0.4953037,0.48203632,0.4807633,0.4859951,0.49243578,0.5218405
Student_85,0.5099177,0.49065426,0.48889917,0.49167725,0.4988732,0.4924164,0.48068538,0.51849455,0.5036612,0.5043217,0.4954989,0.49104506,0.5024451,0.48117203,0.49012083,0.4968907,0.50307494,0.5095467,0.5053214,0.47326314,0.5291913,0.4973794,0.49768558
Student_86,0.5053737,0.49471435,0.4945313,0.47774425,0.5153523,0.5017722,0.5056214,0.48579392,0.5086067,0.4964903,0.4935214,0.4986612,0.51753324,0.52548134,0.52791244,0.5105988,0.48976976,0.49943605,0.5029035,0.5067091,0.4941154,0.48351645,0.50552887
Student_87,0.51248175,0.4845347,0.50752246,0.49904397,0.4904241,0.49972203,0.48108974,0.48727638,0.50733554,0.48122925,0.485026,0.50628954,0.50208765,0.49613026,0.5041758,0.5178415,0.5157568,0.5068756,0.49726176,0.5192728,0.4760878,0.49863237,0.48947072
Student_88,0.4895114,0.52220446,0.5086246,0.49702504,0.52532005,0.5129934,0.48682284,0.5210358,0.49737877,0.4797293,0.5164288,0.5112579,0.4881728,0.5057176,0.49778098,0.49884403,0.51463526,0.5024078,0.5115743,0.50462735,0.5050548,0.49896598,0.48879266
Student_89,0.49259442,0.49413356,0.5078034,0.5193276,0.48718938,0.505248,0.47898307,0.48462653,0.47796583,0.5038048,0.48942465,0.51869905,0.4867112,0.50244945,0.48042738,0.48699564,0.48481822,0.51148367,0.4886663,0.49289346,0.49232155,0.5144228,0.47511643
Student_90,0.5199906,0.5056904,0.48763883,0.48544785,0.49453866,0.51618314,0.5033471,0.50662327,0.5065301,0.50227624,0.4993911,0.49684012,0.5124759,0.4782755,0.5035343,0.49533582,0.49516007,0.50082654,0.49034497,0.48100418,0.4794943,0.49425358,0.52401173
Student_91,0.49754107,0.5014449,0.5341794,0.4887238,0.48229638,0.48638296,0.49766517,0.484726,0.49271414,0.47666147,0.5014213,0.48984957,0.5077624,0.5275593,0.5017026,0.5052448,0.49708655,0.50862783,0.48544872,0.478282,0.4901686,0.49756822,0.50251967
Student_92,0.4843928,0.4881475,0.4983063,0.5132549,0.5042655,0.5013976,0.4919311,0.5007574,0.4970558,0.50640774,0.5148646,0.4969744,0.49360642,0.48817956,0.50563973,0.48635757,0.4875762,0.49326217,0.5008961,0.50195235,0.50390583,0.5009655,0.5152739
Student_93,0.51755345,0.48510867,0.50355756,0.47296652,0.4872351,0.51559454,0.48413193,0.50049853,0.49050117,0.5114532,0.49378678,0.49852818,0.49147353,0.50510097,0.48122525,0.4988912,0.4985008,0.5053362,0.5000659,0.50290287,0.51650614,0.50431633,0.5142482
Student_94,0.48987857,0.5102827,0.487395,0.49523818,0.5088688,0.50130624,0.50033337,0.48198202,0.5252741,0.5091086,0.50577176,0.523699,0.46897227,0.51309544,0.49200198,0.49772504,0.50208104,0.49835473,0.51186913,0.5208297,0.50701874,0.5021625,0.49595731
